"title","rating","poster","totalRatings","releaseDate","genres"
"Captain Marvel (2019)","6.5","https://m.media-amazon.com/images/M/MV5BMTE0YWFmOTMtYTU2ZS00ZTIxLWE3OTEtYTNiYzBkZjViZThiXkEyXkFqcGdeQXVyODMzMzQ4OTI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","32,918","8 March 2019 (USA)","[""Action"",""Adventure"",""Sci-Fi""]"
"Badla (2019)","9.7","https://m.media-amazon.com/images/M/MV5BYjZiMzIzYTctNDViZi00OWNmLWFmN2YtMmI2OWJiZWViMmY3XkEyXkFqcGdeQXVyNTYwMzA0MTM@._V1_UY268_CR9,0,182,268_AL__QL50.jpg","166","8 March 2019 (USA)","[""Crime"",""Drama"",""Mystery""]"
